ticker,vnstock_symbol,issuer_group,sector
ACB,ACB,ACB,Banks
BID,BID,BIDV,Banks
BSR,BSR,BSR,Energy
CTG,CTG,VietinBank,Banks
FPT,FPT,FPT,Technology
GAS,GAS,PV GAS,Energy
GVR,GVR,VRG,Materials
HDB,HDB,HDBank,Banks
HPG,HPG,Hoa Phat,Materials
LPB,LPB,LPBank,Banks
MBB,MBB,MB,Banks
MSN,MSN,Masan,Consumer Staples
MWG,MWG,Mobile World,Consumer Discretionary
PLX,PLX,Petrolimex,Energy
SAB,SAB,Sabeco,Consumer Staples
SHB,SHB,SHB,Banks
SSB,SSB,SeABank,Banks
SSI,SSI,SSI,Financial Services
STB,STB,Sacombank,Banks
TCB,TCB,Techcombank,Banks
TPB,TPB,TPBank,Banks
VCB,VCB,Vietcombank,Banks
VHM,VHM,Vingroup,Real Estate
VIB,VIB,VIB,Banks
VIC,VIC,Vingroup,Real Estate
VJC,VJC,Vietjet,Consumer Discretionary
VNM,VNM,Vinamilk,Consumer Staples
VPB,VPB,VPBank,Banks
VPL,VPL,Vingroup,Consumer Discretionary
VRE,VRE,Vingroup,Real Estate
