signal_date,optimization_mode,issuer_group,issuer_group_weight,position_count,tickers,max_single_name_weight_in_group,weighted_realized_forward_return,exposure_flag
2026-06-23,herding_aware,Vingroup,0.156754581771707,2,"VPL, VRE",0.15425278328776812,-0.012869321739161034,normal
2026-06-23,herding_aware,Vietjet,0.15229581431196598,1,VJC,0.15229581431196598,0.010212148707678852,normal
2026-06-23,herding_aware,BIDV,0.10133778133210547,1,BID,0.10133778133210547,-0.010898664318079444,normal
2026-06-23,herding_aware,Sacombank,0.10133778133210547,1,STB,0.10133778133210547,0.025463784966384607,normal
2026-06-23,herding_aware,Vinamilk,0.10133778133210547,1,VNM,0.10133778133210547,-0.03773361820969788,normal
2026-06-23,herding_aware,SeABank,0.0961715286667932,1,SSB,0.0961715286667932,0.0668619516190042,normal
2026-06-23,herding_aware,TPBank,0.05705065048623666,1,TPB,0.05705065048623666,0.023989723753536172,normal
2026-06-23,herding_aware,Sabeco,0.05149175400515971,1,SAB,0.05149175400515971,0.010314455865244963,normal
2026-06-23,herding_aware,Vietcombank,0.04503558689942286,1,VCB,0.04503558689942286,0.010353291246301228,normal
2026-06-23,herding_aware,Mobile World,0.04253378841548396,1,MWG,0.04253378841548396,0.023749518778624176,normal
2026-06-23,herding_aware,BSR,0.04107784715635868,1,BSR,0.04107784715635868,-0.043988603143849385,normal
2026-06-23,herding_aware,HDBank,0.03697489460301881,1,HDB,0.03697489460301881,0.0032312691315181013,normal
2026-06-23,herding_aware,VIB,0.005736802599974979,1,VIB,0.005736802599974979,0.020866561760892226,normal
2026-06-23,herding_aware,FPT,0.003035519509238104,1,FPT,0.003035519509238104,-0.01360167627505316,normal
2026-06-23,herding_aware,PV GAS,0.0021348750947001727,1,GAS,0.0021348750947001727,-0.02450184583324648,normal
2026-06-23,herding_aware,Petrolimex,0.0021348750947001727,1,PLX,0.0021348750947001727,-0.02541476896442319,normal
2026-06-23,herding_aware,LPBank,0.0019569689758021456,1,LPB,0.0019569689758021456,0.012865402101721428,normal
2026-06-23,herding_aware,SHB,0.0010674447192102058,1,SHB,0.0010674447192102058,-0.01616132679743524,normal
2026-06-23,herding_aware,Hoa Phat,0.0003558149064011781,1,HPG,0.0003558149064011781,-0.004834873235894913,normal
2026-06-23,herding_aware,MB,0.00017790878750982377,1,MBB,0.00017790878750982377,0.011850332548309741,normal
2026-06-23,normal,Vingroup,0.156754581771707,2,"VPL, VRE",0.15425278328776812,-0.012869321739161034,normal
2026-06-23,normal,Vietjet,0.15229581431196598,1,VJC,0.15229581431196598,0.010212148707678852,normal
2026-06-23,normal,BIDV,0.10133778133210547,1,BID,0.10133778133210547,-0.010898664318079444,normal
2026-06-23,normal,Sacombank,0.10133778133210547,1,STB,0.10133778133210547,0.025463784966384607,normal
2026-06-23,normal,Vinamilk,0.10133778133210547,1,VNM,0.10133778133210547,-0.03773361820969788,normal
2026-06-23,normal,SeABank,0.0961715286667932,1,SSB,0.0961715286667932,0.0668619516190042,normal
2026-06-23,normal,TPBank,0.05705065048623666,1,TPB,0.05705065048623666,0.023989723753536172,normal
2026-06-23,normal,Sabeco,0.05149175400515971,1,SAB,0.05149175400515971,0.010314455865244963,normal
2026-06-23,normal,Vietcombank,0.04503558689942286,1,VCB,0.04503558689942286,0.010353291246301228,normal
2026-06-23,normal,Mobile World,0.04253378841548396,1,MWG,0.04253378841548396,0.023749518778624176,normal
2026-06-23,normal,BSR,0.04107784715635868,1,BSR,0.04107784715635868,-0.043988603143849385,normal
2026-06-23,normal,HDBank,0.03697489460301881,1,HDB,0.03697489460301881,0.0032312691315181013,normal
2026-06-23,normal,VIB,0.005736802599974979,1,VIB,0.005736802599974979,0.020866561760892226,normal
2026-06-23,normal,FPT,0.003035519509238104,1,FPT,0.003035519509238104,-0.01360167627505316,normal
2026-06-23,normal,PV GAS,0.0021348750947001727,1,GAS,0.0021348750947001727,-0.02450184583324648,normal
2026-06-23,normal,Petrolimex,0.0021348750947001727,1,PLX,0.0021348750947001727,-0.02541476896442319,normal
2026-06-23,normal,LPBank,0.0019569689758021456,1,LPB,0.0019569689758021456,0.012865402101721428,normal
2026-06-23,normal,SHB,0.0010674447192102058,1,SHB,0.0010674447192102058,-0.01616132679743524,normal
2026-06-23,normal,Hoa Phat,0.0003558149064011781,1,HPG,0.0003558149064011781,-0.004834873235894913,normal
2026-06-23,normal,MB,0.00017790878750982377,1,MBB,0.00017790878750982377,0.011850332548309741,normal
